2026-05-09 13:14:50,064 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-58060877: 61:44:0040713:370 (building), прав: 4, ограничений объекта: 0
2026-05-09 13:14:50,252 INFO egrn_parser.parsers.xlsx_template_parser — ✓ Шаблон egrn_20260508_093233.xlsx: 12 ЗУ, 138 зданий/сооружений
2026-05-09 13:14:50,254 INFO egrn_parser.parsers.xml_parser — ✓ Разобрана XML-выписка КУВИ-001/2026-58060877: 61:44:0040713:370 (building), прав: 4
2026-05-09 13:14:53,329 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-58048669: 61:44:0040713:7 (land), прав: 10, ограничений объекта: 4
2026-05-09 13:14:53,360 INFO egrn_parser.parsers.xml_parser — ✓ Разобрана XML-выписка КУВИ-001/2026-58048669: 61:44:0040713:7 (land), прав: 10
2026-05-09 13:14:53,927 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-55127677: 90:25:020103:763 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:14:54,528 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54597611: 90:25:020103:3005 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:14:55,391 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53832281: 90:25:020103:1013 (building), прав: 3, ограничений объекта: 0
2026-05-09 13:15:05,357 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53834711: 90:25:020103:1113 (building), прав: 2, ограничений объекта: 0
2026-05-09 13:15:06,065 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54173461: 90:25:020103:1370 (building), прав: 2, ограничений объекта: 0
2026-05-09 13:15:06,654 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53836994: 90:25:020103:1378 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:07,662 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53837509: 90:25:020103:1391 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:08,243 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53837866: 90:25:020103:1393 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:09,598 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53833256: 90:25:020103:1463 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:15:10,205 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53831037: 90:25:020103:1466 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:15:11,027 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53833791: 90:25:020103:1486 (building), прав: 2, ограничений объекта: 0
2026-05-09 13:15:11,623 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53838516: 90:25:020103:1556 (structure), прав: 1, ограничений объекта: 0
